# Kolumn 5 = VAR: kallan anger uttryckligen VARIABELT tempo. Sadana latar
# DRIVER av konstruktion och far INTE raknas som analysatorfel -- de har inget
# stabilt tempo att traffa. karaoke-version.com markerar dem uttryckligen.
# artist	titel	bpm	alt-bpm   (alt = annan inspelning ELLER oktavtvetydighet)
#   objektstruktur. Rakna den som samma kalla som songbpm/tunebat/songdata.
#   GENUINT oberoende ar bara: karaoke-version.com (spelar in mot klick),
#   allcountry.eu (handskrivet per koreografi), musicnotes (notutgavor),
#   runhundred.com. Alla nyckelvarden nedan vilar pa nagon av dessa.
James Johnston	MY PEOPLE	165	
Hannes Aitman	Hopeless Nights	130	124
# chordify.net har EGEN beat-tracking-DSP -- oberoende av Spotify, men det ar
#   en ALGORITM och kan ha egna oktavfel. Battre an aterforsaljarna, samre an
#   karaoke-version/allcountry som bygger pa manniskor.
Wild Whens	Backtrack Jack	97	
Andrea Hegard	It Aint My Fault	123	
Tennessee Tears	Yours	100	101
Kaylee Bell	KEITH - Pop Remix	103	
Tomas Ledin	Är du min kvinna	130	133
Kaylee Rose	Cheating	95	188	VAR
# --- fran sista sokomgangen. karaoke-version.com ar starkaste kallan (spelar
#     in mot klick). RATTELSE: copperknob ar bevisat Spotify-harledd (matchade
#     songbpm exakt pa 6/6 gemensamma latar, ljudet ligger pa iTunes), och
#     allcountry.eu ar internt inkonsekvent i oktav (samma lat 178 OCH 90).
Cody Johnson	The Painter	98		
Kaylee Bell	KEITH	103		
Alex Warren	Bloodline	128		
Cameron Whitcomb	Medusa	108		
Dylan Scott	What He'll Never Have	113		
Nate Smith	World on Fire	96		
Tyler Hubbard	Dancin’ In The Country	115		
Drake Milligan	Over Drinkin’ Under Thinkin’	105	106	
Cody Johnson	'Til You Can't	160	80	
Shaboozey	A Bar Song (Tipsy)	162	81	
Luke Combs	Hurricane	152	76	VAR
Lee Brice	One Of Them Girls	96		VAR
Aaron Goodvin	Lonely Drum	114	113	VAR
Bryan Martin	We Ride	82		VAR
Carlene Carter	Every Little Thing	149		VAR
Kikki Danielsson	Cowboy Yoddle Song	132		VAR
Drew Baldridge	She's Somebody's Daughter	86		VAR
